Rank_x,Player,Team_x,PA,IP,Bat WAR,Pit WAR,Total War,Rank_y,Team_y,Position,Salary,Years,Total Value,Average Annual
189,Alec Burleson,STL,546.0,1.0,2.1,0.0,2.1,,Cardinals,OF,"$778,650 ",,$0 ,778650.0
190,Nick Martinez,CIN,,165.2,0.0,2.1,2.1,637.0,Reds,RHP,"$21,050,000 ",,$0 ,21050000.0
191,Will Warren,NYY,,162.1,0.0,2.1,2.1,,Yankees,RHP,"$767,600 ",,$0 ,767600.0
192,Cole Ragans,KCR,,61.2,0.0,2.1,2.1,177.0,Royals,LHP,"$1,083,333 ",3.0,"$13,250,000 ",6625000.0
193,Emmet Sheehan,LAD,,73.1,0.0,2.1,2.1,779.0,Dodgers,RHP,"$780,000 ",,$0 ,780000.0
195,Ryan Jeffers,MIN,464.0,,2.1,,2.1,538.0,Twins,C,"$4,550,000 ",,$0 ,4550000.0
196,David Bednar,- - -,,62.2,0.0,2.0,2.0,567.0,Pirates,RHP,"$5,900,000 ",,$0 ,5900000.0
197,Mason Miller,- - -,,61.2,0.0,2.0,2.0,399.0,Athletics,RHP,"$765,000 ",,$0 ,765000.0
198,Ryan Pepiot,TBR,,167.2,0.0,2.0,2.0,,Rays,RHP,"$774,600 ",,$0 ,774600.0
199,Edward Cabrera,MIA,,137.2,0.0,2.0,2.0,214.0,Marlins,RHP,"$1,950,000 ",,$0 ,1950000.0
201,Sean Murphy,ATL,337.0,,2.0,,2.0,126.0,Braves,C,"$15,000,000 ",6.0,"$73,000,000 ",12166667.0
203,Lawrence Butler,ATH,630.0,,2.0,,2.0,155.0,Athletics,OF,"$765,000 ",7.0,"$65,500,000 ",9357142.0
204,Tyler Heineman,TOR,174.0,3.1,2.1,-0.1,2.0,762.0,Blue Jays,C,"$780,300 ",,$0 ,780300.0
205,Shane Baz,TBR,,166.1,0.0,2.0,2.0,372.0,Rays,RHP,"$1,450,000 ",,$0 ,1450000.0
206,Lucas Giolito,BOS,,145.0,0.0,2.0,2.0,67.0,Red Sox,RHP,"$19,000,000 ",2.0,"$38,500,000 ",19250000.0
207,Ryan McMahon,- - -,586.0,,1.9,,1.9,132.0,Rockies,3,"$12,000,000 ",6.0,"$70,000,000 ",11666667.0
208,Giancarlo Stanton,NYY,281.0,,1.9,,1.9,36.0,Yankees,DH,"$32,000,000 ",13.0,"$325,000,000 ",25000000.0
209,Tyler Mahle,TEX,,86.2,0.0,1.9,1.9,143.0,Rangers,RHP,"$16,500,000 ",2.0,"$22,000,000 ",11000000.0
210,Brayan Bello,BOS,,166.2,0.0,1.9,1.9,157.0,Red Sox,RHP,"$2,666,667 ",6.0,"$55,000,000 ",9166667.0
211,Robert Suarez,SDP,,69.2,0.0,1.9,1.9,156.0,Padres,RHP,"$10,000,000 ",5.0,"$46,000,000 ",9200000.0
212,Clay Holmes,NYM,,165.2,0.0,1.9,1.9,122.0,Mets,RHP,"$13,000,000 ",3.0,"$38,000,000 ",12666667.0
214,Blake Snell,LAD,,61.1,0.0,1.9,1.9,7.0,Dodgers,LHP,"$26,825,953 ",5.0,"$182,000,000 ",36400000.0
